City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hamilton,US,60.98,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
1,Todos Santos,MX,80.11,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
2,Bengkulu,ID,76.28,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
4,Rikitea,PF,77.67,broken clouds,-23.1203,-134.9692,People ThankYou
6,Ballina,AU,77.04,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
8,Taltal,CL,67.21,scattered clouds,-25.4,-70.4833,Residencial Karime
9,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
10,Honiara,SB,86.72,broken clouds,-9.4333,159.95,Heritage Park Hotel
13,San Carlos De Bariloche,AR,65.3,clear sky,-41.1456,-71.3082,Hotel Patagonia
14,Bredasdorp,ZA,61.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
16,Hilo,US,76.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Port Blair,IN,75.06,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
18,Vaini,TO,79.57,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Lubao,PH,79.14,scattered clouds,14.9167,120.55,Hacienda Gracia
23,Busselton,AU,73.04,clear sky,-33.65,115.3333,Observatory Guest House
29,Gizo,SB,84.2,moderate rain,-8.103,156.8419,Imagination Island
30,Necochea,AR,68.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
31,Cape Town,ZA,64.81,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
33,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
34,Alofi,NU,79.47,broken clouds,-19.0595,-169.9187,Taloa Heights
36,Letlhakane,BW,80.69,broken clouds,-21.4167,25.5833,Motswedi Hotel P650
37,Caravelas,BR,70.23,light rain,-17.7125,-39.2481,Pousada dos Navegantes
41,Faanui,PF,82.44,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Ugoofaaru,MV,80.38,few clouds,5.6667,73.0,Ungoofaaru Inn
46,Taoudenni,ML,68.38,overcast clouds,22.6783,-3.9836,
47,Prata,BR,67.73,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
48,Kavieng,PG,82.9,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
49,Ribeira Grande,PT,63.81,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
50,Bilma,NE,61.34,clear sky,18.6853,12.9164,Expeditions Ténére voyages
51,Sao Joao Da Barra,BR,70.81,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
54,New Norfolk,AU,69.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
56,Mangrol,IN,68.59,clear sky,21.1167,70.1167,Hotel The Royal Honours
57,Hobart,AU,69.12,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
59,Maldonado,UY,68.7,clear sky,-34.6667,-54.9167,La Cimarrona
60,Kulhudhuffushi,MV,79.65,broken clouds,6.6221,73.07,Haajy Guest House 1
61,Port Lincoln,AU,64.18,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
64,Tutoia,BR,84.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
65,Port Macquarie,AU,80.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
66,Mandiana,GN,74.39,few clouds,10.6333,-8.6833,Motels rouzo
69,Victoria,HK,66.25,few clouds,22.2855,114.1577,Mini Hotel Central
71,Arraial Do Cabo,BR,73.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,Kavaratti,IN,81.09,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
74,Port Alfred,ZA,63.55,broken clouds,-33.5906,26.891,The Halyards Hotel
75,Dourbali,TD,70.79,clear sky,11.8091,15.8632,
76,Mataura,NZ,65.48,clear sky,-46.1927,168.8643,Ellie's Villa
80,Souillac,MU,76.35,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Touros,BR,80.44,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
82,Amapa,BR,73.08,broken clouds,1.0,-52.0,
83,Karratha,AU,82.08,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
86,Moree,AU,83.46,broken clouds,-29.4667,149.85,Molika Springs Motel
88,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Hobyo,SO,76.84,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
94,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
96,Puerto Ayora,EC,70.5,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,Alta Floresta,BR,71.04,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
99,San Felipe,VE,71.71,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
100,Goundam,ML,70.45,scattered clouds,16.4145,-3.6708,
106,Cidreira,BR,70.86,clear sky,-30.1811,-50.2056,Hotel Castelo
107,Bluff,NZ,65.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
108,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
109,Flinders,AU,84.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
110,Mahebourg,MU,76.24,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Chuy,UY,67.91,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
115,Riyadh,SA,62.76,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
118,Voh,NC,87.26,clear sky,-20.9667,164.7,Le gîte du Koniambo
119,Diamantino,BR,73.99,light rain,-14.4086,-56.4461,Hotel Delta
127,Sumbe,AO,75.42,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
128,Yulara,AU,89.01,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
129,Key West,US,72.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
132,Liberal,US,70.07,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
134,Tambura,SS,73.67,overcast clouds,5.6,27.4667,Rikito Lodge
139,Santa Maria,BR,70.38,clear sky,-29.6842,-53.8069,Hotel Morotin
141,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
142,Kaitangata,NZ,61.93,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
150,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Villa Enata
151,Lavumisa,SZ,66.88,overcast clouds,-27.31,31.892,ROADSIDE B&B
152,Axim,GH,79.86,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
153,Iberia,US,71.67,scattered clouds,29.9502,-91.7507,back to back rv park
155,Yangjiang,CN,63.54,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
156,Pangai,TO,79.83,few clouds,-19.8,-174.35,Ha'apai Beach Resort
157,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
158,Buala,SB,85.53,light rain,-8.145,159.5921,Maringe Lagoon Lodge
159,Coihueco,CL,78.39,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
160,Mocuba,MZ,76.55,overcast clouds,-16.8392,36.9856,Phama Lodge
162,Saldanha,ZA,62.73,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
163,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
164,Saint-Pierre,RE,78.48,light rain,-21.3393,55.4781,Lindsey Hôtel
165,Guerrero Negro,MX,66.29,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
166,Limoeiro,BR,77.45,broken clouds,-7.8747,-35.4503,Hotel das Oliveiras
167,Boyolangu,ID,78.33,overcast clouds,-8.1181,111.8935,Yos ega cv
168,Sur,OM,72.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
170,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
172,Sumenep,ID,81.86,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
173,Puerto Escondido,MX,81.43,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
176,Lagoa,PT,62.38,overcast clouds,39.05,-27.9833,Casa Das Faias
180,Sibolga,ID,75.42,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
182,San Diego De Los Banos,CU,65.55,clear sky,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
184,Praia Da Vitoria,PT,61.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
185,Bouza,NE,64.9,scattered clouds,14.4229,6.0428,
186,Ha Tinh,VN,68.65,overcast clouds,18.3333,105.9,Phú Quý
187,Ahipara,NZ,74.61,few clouds,-35.1667,173.1667,Ahipara Holiday Park
188,Mar Del Plata,AR,72.88,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
192,Bobo Dioulasso,BF,74.23,clear sky,11.1771,-4.2979,RAN Hotel Somketa
196,Payo,ID,72.82,overcast clouds,-3.7508,103.6372,Mess keban agung
198,Rio Grande,BR,69.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
200,Komatipoort,ZA,70.05,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
202,East London,ZA,64.15,broken clouds,-33.0153,27.9116,Tu Casa
204,Dingle,PH,75.29,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
205,Nishihara,JP,65.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
207,Sao Joao Batista,BR,73.26,scattered clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
208,Richards Bay,ZA,67.14,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
212,Hambantota,LK,71.51,clear sky,6.1241,81.1185,Bungalow 63
214,Los Chiles,CR,73.71,broken clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
215,Bandarbeyla,SO,75.11,scattered clouds,9.4942,50.8122,JABIR HOTEL
218,Cabo San Lucas,MX,80.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
219,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
220,Pelotas,BR,69.85,clear sky,-31.7719,-52.3425,Hotéis Jacques Georges Tower
