City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hamilton,US,39.1834,-84.5333,60.98,79,100,5.01,overcast clouds
1,Todos Santos,MX,23.45,-110.2167,80.11,74,92,6.44,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,76.28,88,75,4.56,broken clouds
3,Butaritari,KI,3.0707,172.7902,81.79,77,100,9.62,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,77.67,68,68,8.77,broken clouds
5,Albino,IT,45.7638,9.7964,40.32,90,75,1.14,mist
6,Ballina,AU,-28.8667,153.5667,77.04,69,100,5.99,overcast clouds
7,Ostrovnoy,RU,68.0531,39.5131,14.05,87,100,17.87,overcast clouds
8,Taltal,CL,-25.4,-70.4833,67.21,78,45,1.43,scattered clouds
9,Quatre Cocos,MU,-20.2078,57.7625,76.08,81,97,2.1,overcast clouds
10,Honiara,SB,-9.4333,159.95,86.72,72,70,4.63,broken clouds
11,Neryungri,RU,56.6709,124.6491,-14.85,97,100,5.23,overcast clouds
12,Waddan,LY,29.1614,16.139,53.53,39,0,5.59,clear sky
13,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.3,48,0,7.47,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,61.29,90,78,12.3,broken clouds
15,Faya,SA,18.3851,42.4509,53.06,75,95,4.76,overcast clouds
16,Hilo,US,19.7297,-155.09,76.24,60,79,7.72,broken clouds
17,Port Blair,IN,11.6667,92.75,75.06,82,40,9.66,scattered clouds
18,Vaini,TO,-21.2,-175.2,79.57,65,21,6.55,few clouds
19,Tsuyama,JP,35.05,134.0,49.35,68,41,10.67,scattered clouds
20,Marienburg,PL,54.0359,19.0266,23.11,73,80,15.7,broken clouds
21,Lubao,PH,14.9167,120.55,79.14,79,27,6.17,scattered clouds
22,Yachimata,JP,35.65,140.3167,49.57,100,75,1.14,mist
23,Busselton,AU,-33.65,115.3333,73.04,48,0,16.44,clear sky
24,Requena,ES,39.4883,-1.1004,53.38,91,99,10.56,overcast clouds
25,Labytnangi,RU,66.6572,66.4183,5.04,92,100,13.78,overcast clouds
26,Poddorye,RU,57.4695,31.1156,20.12,95,100,5.86,light snow
27,Sorland,NO,67.667,12.6934,33.89,68,100,34.81,light snow
28,Lata,PT,40.1629,-8.3327,54.91,95,100,5.93,overcast clouds
29,Gizo,SB,-8.103,156.8419,84.2,76,96,7.49,moderate rain
30,Necochea,AR,-38.5473,-58.7368,68.04,92,51,13.24,broken clouds
31,Cape Town,ZA,-33.9258,18.4232,64.81,79,0,1.99,clear sky
32,Khorinsk,RU,52.1657,109.7726,-19.79,99,55,3.06,broken clouds
33,Ponta Do Sol,PT,32.6667,-17.1,66.83,87,100,14.72,overcast clouds
34,Alofi,NU,-19.0595,-169.9187,79.47,72,53,9.62,broken clouds
35,Castro,BR,-24.7911,-50.0119,56.48,91,16,7.18,few clouds
36,Letlhakane,BW,-21.4167,25.5833,80.69,32,82,12.15,broken clouds
37,Caravelas,BR,-17.7125,-39.2481,70.23,97,100,6.04,light rain
38,Fortuna,US,40.5982,-124.1573,48.54,94,90,3.0,overcast clouds
39,Khatanga,RU,71.9667,102.5,-28.82,100,13,5.53,few clouds
40,Ushuaia,AR,-54.8,-68.3,55.63,70,91,7.63,overcast clouds
41,Faanui,PF,-16.4833,-151.75,82.44,70,53,14.83,broken clouds
