City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esso,RU,2021-12-22 10:53:58,55.9333,158.7,10.8,94,100,2.98
1,Guerrero Negro,MX,2021-12-22 10:53:59,27.9769,-114.0611,60.28,80,99,8.77
2,Qaanaaq,GL,2021-12-22 10:53:59,77.484,-69.3632,27.39,55,3,9.71
3,East London,ZA,2021-12-22 10:53:59,-33.0153,27.9116,77.94,69,20,14.97
4,Vung Tau,VN,2021-12-22 10:54:00,10.346,107.0843,78.44,82,98,18.37
5,Yellowknife,CA,2021-12-22 10:50:56,62.456,-114.3525,-25.58,81,90,0.0
6,Bredasdorp,ZA,2021-12-22 10:54:00,-34.5322,20.0403,76.32,65,100,12.66
7,Atuona,PF,2021-12-22 10:54:01,-9.8,-139.0333,78.55,73,92,21.14
8,Cape Town,ZA,2021-12-22 10:53:51,-33.9258,18.4232,80.11,66,20,5.01
9,Hithadhoo,MV,2021-12-22 10:54:01,-0.6,73.0833,82.58,67,95,2.15
10,Hermanus,ZA,2021-12-22 10:54:02,-34.4187,19.2345,85.89,69,100,12.44
11,New Norfolk,AU,2021-12-22 10:54:02,-42.7826,147.0587,56.7,46,100,3.0
12,Ushuaia,AR,2021-12-22 10:49:44,-54.8,-68.3,51.42,61,20,28.77
13,Mar Del Plata,AR,2021-12-22 10:49:10,-38.0023,-57.5575,68.88,91,75,3.0
14,Clyde River,CA,2021-12-22 10:54:02,70.4692,-68.5914,7.03,92,100,19.57
15,Hobart,AU,2021-12-22 10:54:03,-42.8794,147.3294,57.06,50,75,1.01
16,Kapaa,US,2021-12-22 10:54:03,22.0752,-159.319,72.12,72,100,4.0
17,Port Lincoln,AU,2021-12-22 10:54:03,-34.7333,135.8667,60.58,83,33,16.37
18,Kidal,ML,2021-12-22 10:54:04,18.4411,1.4078,74.8,10,65,15.75
19,Pisco,PE,2021-12-22 10:54:04,-13.7,-76.2167,64.45,94,90,4.61
20,Butaritari,KI,2021-12-22 10:54:05,3.0707,172.7902,81.59,69,83,2.59
21,Tiksi,RU,2021-12-22 10:54:05,71.6872,128.8694,-21.41,97,95,7.2
22,Dikson,RU,2021-12-22 10:54:05,73.5069,80.5464,-8.3,84,100,17.63
23,Ulladulla,AU,2021-12-22 10:54:05,-35.35,150.4667,66.78,90,100,6.58
24,Bengkulu,ID,2021-12-22 10:54:06,-3.8004,102.2655,78.73,87,15,6.15
25,Vostok,RU,2021-12-22 10:54:06,46.4856,135.8833,-18.45,99,96,3.69
26,Swan Hill,AU,2021-12-22 10:54:07,-35.3378,143.5544,76.24,22,98,5.7
27,Vaini,TO,2021-12-22 10:54:07,-21.2,-175.2,77.16,100,75,6.91
28,West Wendover,US,2021-12-22 10:54:07,40.7391,-114.0733,18.61,86,1,3.44
29,Sitka,US,2021-12-22 10:54:08,57.0531,-135.33,25.41,67,1,9.28
30,Mataura,NZ,2021-12-22 10:54:08,-46.1927,168.8643,55.47,94,57,2.51
31,Rikitea,PF,2021-12-22 10:54:09,-23.1203,-134.9692,76.57,77,100,11.56
32,Harper,LR,2021-12-22 10:54:09,4.375,-7.7169,85.77,58,73,2.82
33,Upernavik,GL,2021-12-22 10:54:09,72.7868,-56.1549,25.29,58,45,8.01
34,Pedernales,DO,2021-12-22 10:54:10,18.0384,-71.744,75.58,74,34,4.12
35,Jingdezhen,CN,2021-12-22 10:54:10,29.2947,117.2079,54.81,45,0,3.36
36,Zambezi,ZM,2021-12-22 10:54:10,-13.5432,23.1047,77.11,70,98,8.68
37,Coahuayana,MX,2021-12-22 10:54:11,18.7333,-103.6833,68.49,81,11,3.91
